Entity_x,Code,Location,SpatialDimValueCode,Country or Area,Entity_y
Russia,RUS,Russian Federation,RUS,,Russia
Rwanda,RWA,Rwanda,RWA,,
Saint Kitts and Nevis,KNA,,,,
Samoa,WSM,Samoa,WSM,,
Saudi Arabia,SAU,Saudi Arabia,SAU,,
Senegal,SEN,Senegal,SEN,,
Serbia,SRB,Serbia,SRB,Serbia,
Sierra Leone,SLE,Sierra Leone,SLE,,
Singapore,SGP,Singapore,SGP,,
Slovakia,SVK,Slovakia,SVK,Slovakia,Slovakia
Slovenia,SVN,Slovenia,SVN,Slovenia,Slovenia
South Africa,ZAF,South Africa,ZAF,South Africa,
South Korea,KOR,Republic of Korea,KOR,,
Spain,ESP,Spain,ESP,,Spain
Sri Lanka,LKA,Sri Lanka,LKA,,
Sweden,SWE,Sweden,SWE,Sweden,Sweden
Switzerland,CHE,Switzerland,CHE,Switzerland,Switzerland
Thailand,THA,Thailand,THA,Thailand,
Tonga,TON,Tonga,TON,,
Tunisia,TUN,Tunisia,TUN,Tunisia,
Turkey,TUR,Turkey,TUR,Turkey,
Uganda,UGA,Uganda,UGA,,
Ukraine,UKR,Ukraine,UKR,Ukraine,
United Arab Emirates,ARE,United Arab Emirates,ARE,,
United Kingdom,GBR,United Kingdom of Great Britain and Northern Ireland,GBR,United Kingdom,United Kingdom
United States,USA,United States of America,USA,,United States
Uruguay,URY,Uruguay,URY,Uruguay,
Uzbekistan,UZB,Uzbekistan,UZB,Uzbekistan,
Venezuela,VEN,,,,
Vietnam,VNM,,,,
Yemen,YEM,Yemen,YEM,,
Zambia,ZMB,Zambia,ZMB,,
Zimbabwe,ZWE,Zimbabwe,ZWE,,
Liberia,LBR,Liberia,LBR,,
Afghanistan,AFG,,,,
Albania,ALB,Albania,ALB,Albania,
Andorra,AND,Andorra,AND,,
Angola,AGO,,,,
Antigua and Barbuda,ATG,,,,
Bahrain,BHR,Bahrain,BHR,,
Barbados,BRB,Barbados,BRB,,
Benin,BEN,Benin,BEN,,
Bhutan,BTN,,,,
Botswana,BWA,Botswana,BWA,,
Brunei,BRN,Brunei Darussalam,BRN,,
Burkina Faso,BFA,Burkina Faso,BFA,,
Cape Verde,CPV,,,,
Central African Republic,CAF,,,,
Chad,TCD,Chad,TCD,,
Congo,COG,Congo,COG,,
Cook Islands,COK,Cook Islands,COK,,
Cote d'Ivoire,CIV,Côte d’Ivoire,CIV,,
Cuba,CUB,Cuba,CUB,Cuba,
Democratic Republic of Congo,COD,,,,
Djibouti,DJI,,,,
Dominica,DMA,,,,
El Salvador,SLV,El Salvador,SLV,,
Equatorial Guinea,GNQ,,,,
Eritrea,ERI,Eritrea,ERI,,
Eswatini,SWZ,Eswatini,SWZ,,
Gabon,GAB,,,,
Grenada,GRD,,,,
Guinea,GIN,,,,
Guinea-Bissau,GNB,,,,
Guyana,GUY,Guyana,GUY,,
Haiti,HTI,Haiti,HTI,,
Iraq,IRQ,Iraq,IRQ,,
Jordan,JOR,,,,
Kiribati,KIR,Kiribati,KIR,,
Kuwait,KWT,Kuwait,KWT,,
Kyrgyzstan,KGZ,Kyrgyzstan,KGZ,Kyrgyzstan,Kyrgyzstan
Laos,LAO,Lao People's Democratic Republic,LAO,,
Lesotho,LSO,Lesotho,LSO,,
Libya,LBY,,,,
Madagascar,MDG,Madagascar,MDG,Madagascar,
Malawi,MWI,Malawi,MWI,Malawi,
Maldives,MDV,,,,
Malta,MLT,Malta,MLT,Malta,
Marshall Islands,MHL,,,,
Mauritania,MRT,,,,
Mauritius,MUS,Mauritius,MUS,,
Micronesia (country),FSM,,,,
Monaco,MCO,,,,
Montenegro,MNE,,,Montenegro,
Mozambique,MOZ,Mozambique,MOZ,Mozambique,
Myanmar,MMR,Myanmar,MMR,,
Namibia,NAM,Namibia,NAM,,
Nauru,NRU,Nauru,NRU,,
Niger,NER,Niger,NER,,
Niue,NIU,,,,
North Korea,PRK,Democratic People's Republic of Korea,PRK,,
Palau,PLW,Palau,PLW,,
Papua New Guinea,PNG,,,,
Paraguay,PRY,Paraguay,PRY,,
Qatar,QAT,Qatar,QAT,,
Saint Lucia,LCA,,,,
Saint Vincent and the Grenadines,VCT,,,,
San Marino,SMR,,,,
Sao Tome and Principe,STP,Sao Tome and Principe,STP,,
Seychelles,SYC,Seychelles,SYC,,
Solomon Islands,SLB,Solomon Islands,SLB,,
Somalia,SOM,,,,
South Sudan,SSD,,,,
Sudan,SDN,,,,
Suriname,SUR,,,,
Syria,SYR,,,,
Tajikistan,TJK,,,,
Tanzania,TZA,United Republic of Tanzania,TZA,,
Timor,TLS,Timor-Leste,TLS,,
Togo,TGO,Togo,TGO,,
Trinidad and Tobago,TTO,,,,
Turkmenistan,TKM,,,,
Tuvalu,TUV,Tuvalu,TUV,,
Vanuatu,VUT,Vanuatu,VUT,,
